400000.0 nm0000005 nm0000005 8.2 tt0069467 tt0069467 8.2
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0032976 8.2
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0038109 7.6
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0048750 7.2
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0054215 8.5
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0061107 6.7
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0065112 6.3
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0068611 7.5
1288000.0 nm0000033 nm0000033 8.2 tt0032976 tt0074512 6.8
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0032976 8.2
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0038109 7.6
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0048750 7.2
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0054215 8.5
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0061107 6.7
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0065112 6.3
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0068611 7.5
1696377.0 nm0000033 nm0000033 7.6 tt0038109 tt0074512 6.8
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0032976 8.2
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0038109 7.6
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0048750 7.2
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0054215 8.5
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0061107 6.7
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0065112 6.3
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0068611 7.5
1200000.0 nm0000033 nm0000033 7.2 tt0048750 tt0074512 6.8
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0032976 8.2
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0038109 7.6
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0048750 7.2
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0054215 8.5
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0061107 6.7
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0065112 6.3
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0068611 7.5
806947.0 nm0000033 nm0000033 8.5 tt0054215 tt0074512 6.8
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0032976 8.2
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0038109 7.6
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0048750 7.2
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0054215 8.5
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0061107 6.7
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0065112 6.3
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0068611 7.5
6000000.0 nm0000033 nm0000033 6.7 tt0061107 tt0074512 6.8
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0032976 8.2
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0038109 7.6
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0048750 7.2
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0054215 8.5
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0061107 6.7
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0065112 6.3
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0068611 7.5
4000000.0 nm0000033 nm0000033 6.3 tt0065112 tt0074512 6.8
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0032976 8.2
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0038109 7.6
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0048750 7.2
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0054215 8.5
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0061107 6.7
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0065112 6.3
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0068611 7.5
2000000.0 nm0000033 nm0000033 7.5 tt0068611 tt0074512 6.8
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0032976 8.2
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0038109 7.6
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0048750 7.2
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0054215 8.5
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0061107 6.7
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0065112 6.3
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0068611 7.5
4490375.0 nm0000033 nm0000033 6.8 tt0074512 tt0074512 6.8
2540800.0 nm0000037 nm0000037 8.3 tt0045152 tt0045152 8.3
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0056193 7.7
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0056193 7.7
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0057012 8.5
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0062622 8.3
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0072684 8.1
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0081505 8.4
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0120663 7.3
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0056193 7.7
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0056193 7.7
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0057012 8.5
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0062622 8.3
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0072684 8.1
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0081505 8.4
2000000.0 nm0000040 nm0000040 7.7 tt0056193 tt0120663 7.3
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0056193 7.7
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0056193 7.7
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0057012 8.5
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0062622 8.3
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0072684 8.1
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0081505 8.4
1800000.0 nm0000040 nm0000040 8.5 tt0057012 tt0120663 7.3
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0056193 7.7
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0056193 7.7
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0057012 8.5
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0062622 8.3
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0072684 8.1
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0081505 8.4
12000000.0 nm0000040 nm0000040 8.3 tt0062622 tt0120663 7.3
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0056193 7.7
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0056193 7.7
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0057012 8.5
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0062622 8.3
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0072684 8.1
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0081505 8.4
11000000.0 nm0000040 nm0000040 8.1 tt0072684 tt0120663 7.3
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0056193 7.7
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0056193 7.7
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0057012 8.5
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0062622 8.3
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0072684 8.1
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0081505 8.4
19000000.0 nm0000040 nm0000040 8.4 tt0081505 tt0120663 7.3
65000000.0 nm0000040 nm0000040 7.3 tt0120663 tt0056193 7.7
65000000.0 nm0000040 nm0000040 7.3 tt0120663 tt0056193 7.7
65000000.0 nm0000040 nm0000040 7.3 tt0120663 tt0057012 8.5
65000000.0 nm0000040 nm0000040 7.3 tt0120663 tt0062622 8.3
